id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11078,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19705709.0,19705709.0,False,,1,,,,2024-05-30T22:20:00.000Z,68253.92447488786,29605709863.06675,10.896,-0.19375695,0.94140648,0.80633607,13.10722534,-3.70935461,9.19342214,1344991973810.118,53.0368,1433332413972.65,,2024-05-30T22:20:00.000Z,,,,,,2024-05-30 17:21:09.521863
1027,Ethereum,ETH,ethereum,9015,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120139697.95266496,120139697.95266496,True,,2,,,,2024-05-30T22:19:00.000Z,3748.8800187245465,15360005614.761822,-12.4973,0.20511255,-0.56204576,-1.8574324,24.97091318,3.27778879,9.18719906,450389313110.348,17.7603,450389313110.35,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
825,Tether USDt,USDT,tether,87325,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,111963763434.5026,115086550409.00153,True,,3,,,,2024-05-30T22:19:00.000Z,0.9997721076972924,66424931175.14752,2.6896,-0.00649175,0.08328813,0.03971393,0.10887346,-0.03070436,-0.11153546,111938247754.63371,4.415,115060323070.02,,2024-05-30T22:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-30 17:21:09.521863
1839,BNB,BNB,bnb,2172,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147585388.07902363,147585388.07902363,False,,4,,,,2024-05-30T22:19:00.000Z,594.6163731740758,1746724933.367484,6.7236,0.17000863,-0.18988344,-0.40489807,2.56839645,-1.9574726,45.79949497,87756688193.0375,3.4612,87756688193.04,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
5426,Solana,SOL,solana,668,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,459615074.79870385,577098714.1875925,True,,5,,,,2024-05-30T22:19:00.000Z,166.587467334873,2926502486.3179827,3.1844,-0.09459726,-1.24554038,-6.07686954,31.45213338,-16.70761842,27.02226801,76566111259.64429,3.0192,96137413198.72,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
3408,USDC,USDC,usd-coin,19498,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32372071513.204235,32372071513.204235,False,,6,,,,2024-05-30T22:19:00.000Z,1.000174375651405,6630938817.454492,5.9696,0.00198261,0.01510239,0.01572628,0.0267007,0.0152718,0.01293762,32377716414.26168,1.2771,32377716414.26,,2024-05-30T22:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-05-30 17:21:09.521863
52,XRP,XRP,xrp,1332,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55450358947.0,99987572899.0,False,,7,,,,2024-05-30T22:20:00.000Z,0.5198081062969946,1325975764.5150964,11.6344,0.30679578,-0.65966485,-1.20612845,4.2889702,-17.16895095,-13.50777821,28823546077.72868,1.1366,51980810629.7,,2024-05-30T22:20:00.000Z,,,,,,2024-05-30 17:21:09.521863
74,Dogecoin,DOGE,dogecoin,974,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144508876383.70514,144508876383.70514,True,,8,,,,2024-05-30T22:20:00.000Z,0.1590122369609443,1468900188.9592347,-3.4051,0.05478901,-3.16639984,-1.07094697,19.75957111,-27.60864827,9.83736142,22978679694.485542,0.9064,22978679694.49,,2024-05-30T22:20:00.000Z,,,,,,2024-05-30 17:21:09.521863
2010,Cardano,ADA,cardano,1187,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35698280345.478,36925434173.444,False,,9,,,,2024-05-30T22:19:00.000Z,0.4477475508361608,354018217.0384998,0.8471,0.39390731,-0.99981396,-3.84623989,1.62340586,-30.8476769,-35.86305561,15983817593.750431,0.6304,20148639787.63,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
11419,Toncoin,TON,toncoin,380,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2412279685.7978096,5107109288.526749,True,,10,3414166606.0,22139494921.577328,,2024-05-30T22:19:00.000Z,6.48459711446704,168537556.52945206,1.3771,0.2398808,0.63710027,4.51022967,25.98252376,20.32074421,138.90300836,15642661889.811935,0.6168,33117546155.65,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
