id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45099241,Discover Chicago from a Modern Apartment,2069798,Afsha,,Logan Square,41.915187,-87.711738,Entire home/apt,136,2,89,2/18/24,2.05,6,12,29,R20000054738
45102210,Amazing City Get Away. Perfect for Entertaining!,46939427,Anthony,,Logan Square,41.92796,-87.69772,Entire home/apt,1000,32,6,10/10/21,0.14,9,365,0,R17000015121
45153834,High End 3bd/2bth Condo. Amazing location!,25857452,Shaye,,West Town,41.89919,-87.66267,Entire home/apt,125,32,1,11/2/20,0.02,1,79,0,R20000058340
45160983,East Humboldt Park Traveler's Lodge,4591141,Moudi,,West Town,41.8979,-87.69879,Entire home/apt,,32,0,,,3,30,0,R21000072585
45172935,City King,318103179,Arlo,,Loop,41.88516,-87.62486,Hotel room,205,32,79,10/31/23,1.99,3,228,12,47-5611763
45177129,"Located near Wrigley, Lakefront, Downtown &Parking",46939427,Anthony,,Irving Park,41.9549,-87.70571,Entire home/apt,869,2,19,7/16/23,0.56,9,361,1,R17000015121
45214721,WF Home Sweet Home,263951019,Wf,,Bridgeport,41.83636,-87.64639,Entire home/apt,123,2,55,3/5/24,1.35,1,70,25,R20000054991
45241534,3 bdrm |Complimentary Garage Parking| W&D | LUXTEL,130502086,Yolanda,,Humboldt Park,41.9129,-87.72474,Entire home/apt,158,2,60,3/3/24,2.02,3,74,25,R21000071959
45250313,"Blueground | Loop, gym, doorman, nr L & parks",107434423,Blueground,,Loop,41.8772287,-87.6290111,Entire home/apt,183,32,1,9/19/21,0.03,555,289,0,32-days listing
45259783,Comfortable Room Five Min Walk to Blue Line/ RM 6,102750577,Jane,,Irving Park,41.94734,-87.71133,Private room,45,1,102,3/3/24,2.37,6,327,31,R21000073218
45267441,Illinois Medical District,365764996,Zandra,,Lower West Side,41.84819,-87.6769,Private room,55,3,12,9/19/22,0.33,3,178,0,R20000058370
45267938,Welcome Home,365764996,Zandra,,Lower West Side,41.85021,-87.67831,Private room,38,32,41,10/22/22,0.99,3,268,0,R21000073252
45281916,Attached bath. UChicago Hospital. Train.,1385332,Patt,,Woodlawn,41.78388,-87.60789,Private room,29,32,9,3/16/24,0.25,19,233,2,
45301793,Luxurious Private room & Private bath,137568651,Charlie,,Dunning,41.93849,-87.78799,Private room,62,2,12,3/17/24,0.28,6,60,6,R20000058899
45303919,Luxurious Cozy Private-Room & Shared Bathroom,137568651,Charlie,,Dunning,41.93972,-87.7867,Private room,55,1,57,10/10/23,1.33,6,81,14,R20000058899
45304237,Luxurious Cozy Private Room & SHARED Bathroom,137568651,Charlie,,Dunning,41.93843,-87.78822,Private room,55,1,60,10/9/23,1.4,6,89,13,R20000058899
45304453,#Luxurious Private Room & Private Bathroom,137568651,Charlie,,Dunning,41.94014,-87.78861,Private room,69,1,76,10/2/23,1.82,6,90,15,R20000058899
45304613,COZY Private Room & Private Bath,137568651,Charlie,,Dunning,41.94034,-87.78655,Private room,59,2,57,10/8/23,1.58,6,52,15,R20000058899
45328855,Bienvenu Chez Moi,202385826,Mouna,,North Center,41.93825,-87.68796,Entire home/apt,85,2,102,3/10/24,3.03,1,50,42,R20000058342
